,Name,Description,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,Polar Habits,Build lasting habits without the guilt of broken streaks,https://www.producthunt.com/posts/polar-habits-2/embed,779,Free Options,14,4.5/5 ★,126,#1,#6
1,socra,Crush your goals with AI,https://www.producthunt.com/posts/socra/embed,331,Free,1,5/5 ★,68,#2,#18
2,Heydai,Know where your time goes,https://www.producthunt.com/posts/heydai/embed,298,Free Options,4,5/5 ★,82,#3,#22
3,Freelancer Stash,The best tools & resources for freelancing,https://www.producthunt.com/posts/freelancer-stash/embed,235,Free,1,5/5 ★,54,#4,#29
4,GPT Quiz Maker for Google Forms,Make a quiz with AI and ChatGPT in just 1 click,https://www.producthunt.com/posts/gpt-quiz-maker-for-google-forms/embed,151,Free Options,0,,38,#5,#40
5,FibonacciKu,Personalized AI learning assistant for teachers and students,https://www.producthunt.com/posts/fibonacciku/embed,115,Free,1,5/5 ★,29,#6,#48
6,Avra Core,"Think positively, change your life",https://www.producthunt.com/posts/avra-core/embed,105,Free,1,5/5 ★,47,#7,#56
7,Habit Tracker,Simple and user friendly habit tracker,https://www.producthunt.com/posts/habit-tracker-8/embed,84,Free Options,5,4.8/5 ★,26,#8,#66
8,Legalify ADS,High quality traffic filtering platform,https://www.producthunt.com/posts/legalify-ads/embed,74,Payment Required,2,5/5 ★,43,#9,#72
9,Warcraft® Rumble™,Build your army of Minis,https://www.producthunt.com/posts/warcraft-rumble/embed,74,Free,0,,25,#10,#71
10,2023 Wrapped Code Stats,"Most used languages, IDEs, and stats of developers in 2023",https://www.producthunt.com/posts/2023-wrapped-code-stats/embed,53,Free,30,5/5 ★,6,#11,#92
11,Lottiebox,Get rid of boring and slow web experiences,https://www.producthunt.com/posts/lottiebox/embed,514,Payment Required,3,5/5 ★,108,#1,#9
12,crewAI,Platform for building sophisticated multi-agent interactions,https://www.producthunt.com/posts/crewai/embed,464,Free,0,,56,#2,#16
13,Micro Habits,Breaking your goal into micro habit to achive greatness,https://www.producthunt.com/posts/micro-habits-6/embed,271,Free Options,2,5/5 ★,83,#3,#23
14,Memoru Flashcards,Ace your studies with Memoru flashcards,https://www.producthunt.com/posts/memoru-flashcards/embed,191,Free,1,5/5 ★,60,#4,#32
15,Ferret,Refer and ground anything anywhere at any granularity,https://www.producthunt.com/posts/ferret/embed,136,Free,1,5/5 ★,21,#5,#42
16,FrequentlyAskedAI,"Build an AI FAQ, answer any customer question in seconds",https://www.producthunt.com/posts/frequentlyaskedai/embed,132,Payment Required,0,,44,#6,#44
17,Adcolabs Scraper,Webscraping meets Browserautomation,https://www.producthunt.com/posts/adcolabs-scraper/embed,121,Free Options,1,5/5 ★,54,#7,#49
18,Your News,"Personalized feed reader, RSS & YouTube",https://www.producthunt.com/posts/your-news/embed,103,Free,0,,50,#8,#53
19,Xypher,Effortless file sharing with a single command,https://www.producthunt.com/posts/xypher/embed,68,Free Options,0,,11,#9,#70
20,MyInvestment-AI,"AI helps secure wealth, trusted by 300+ users",https://www.producthunt.com/posts/myinvestment-ai/embed,71,Payment Required,1,5/5 ★,18,#10,#68
21,Ahead,Duolingo for emotional intelligence,https://www.producthunt.com/posts/ahead-d7a13334-9084-4675-afdf-b5cf0026fd81/embed,76,Free,11,5/5 ★,9,#11,#74
22,dataplots,Hire top data talent in Latin America,https://www.producthunt.com/posts/dataplots/embed,57,,0,,29,#12,#79
23,Paper Billionaires,Book club for entrepreneurs,https://www.producthunt.com/posts/paper-billionaires/embed,17,,1,5/5 ★,2,#13,#110
24,Open Love,"Your perfect AI girlfriend, talk about anything you desire",https://www.producthunt.com/posts/open-love/embed,60,Free Options,0,,19,#14,#86
25,My Year,"Speed journaling, life metrics for the modern human",https://www.producthunt.com/posts/my-year-2/embed,34,Free,4,5/5 ★,2,#15,#107
26,Captiwiz,Generate stylish captions with AI & gain thousands of views,https://www.producthunt.com/posts/captiwiz/embed,28,Free Options,2,5/5 ★,20,-,#88
27,RawuserAI - Transform Your Website,"Tailoring the web, one visitor at a time",https://www.producthunt.com/posts/rawuserai-transform-your-website/embed,106,Free Options,2,5/5 ★,59,-,#47
28,LeadrPro for Events,The networking app for events,https://www.producthunt.com/posts/leadrpro-for-events/embed,650,Free,34,4.8/5 ★,147,#1,#4
29,Confidence,An experimentation platform made with love at Spotify,https://www.producthunt.com/posts/confidence-2/embed,505,Payment Required,0,,50,#2,#10
30,Record Once,Create video tutorials with AI that edits and fixes mistakes,https://www.producthunt.com/posts/record-once/embed,497,Free Options,3,3.7/5 ★,139,#3,#13
