Date,Name,Description,Topic 1,Topic 2,Topic 3,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
22-01-2024,Bonkers,Simplest ever text-to-image generator,Productivity,Marketing,Artificial Intelligence,https://www.producthunt.com/posts/bonkers-2/embed,844,Free Options,211,4.7/5 ?,209,#1,#7
22-01-2024,Composer IRA,Active automated trading in your retirement account,Fintech,Investing,Artificial Intelligence,https://www.producthunt.com/posts/composer-ira/embed,461,Free Options,21,4.6/5 ?,148,#2,#16
22-01-2024,24me,Smart Personal Assistant,Android,Productivity,Task Management,https://www.producthunt.com/posts/24me-5/embed,375,Free,0,,146,#3,#21
22-01-2024,Holly,Your AI recruiter,Hiring,Productivity,Artificial Intelligence,https://www.producthunt.com/posts/holly-3/embed,331,Free Options,7,4.9/5 ?,112,#4,#32
22-01-2024,gemdomains,"Expired domains, made easy",Marketing,SEO,Search,https://www.producthunt.com/posts/gemdomains/embed,319,Free,0,,78,#5,#35
22-01-2024,Kyugo 2.0,"Time is your superpower, visualize your day your way",Android,iOS,Productivity,https://www.producthunt.com/posts/kyugo-2-0/embed,250,Free Options,9,4.8/5 ?,101,#6,#39
22-01-2024,Micro StartUps Acquisitions,"Discover, buy & sell website ventures",Investing,SaaS,E-Commerce,https://www.producthunt.com/posts/micro-startups-acquisitions/embed,189,Free Options,13,4.9/5 ?,81,#7,#51
22-01-2024,Auro,AI digital voice journal,iOS,Lifestyle,Health,https://www.producthunt.com/posts/auro-2/embed,141,Free Options,0,,43,#8,#57
22-01-2024,Annotate,Menubar app to draw on any app or screen on macOS,Design Tools,Productivity,Menu Bar Apps,https://www.producthunt.com/posts/annotate-6/embed,125,Payment Required,0,,57,#9,#66
22-01-2024,DevMail,Email sandbox for software developers,Email,Email Marketing,Developer Tools,https://www.producthunt.com/posts/devmail/embed,118,Free Options,0,,29,#10,#68
22-01-2024,Blacksmith InfoSec,Information security management system crafted for SMBs,SaaS,Security,,https://www.producthunt.com/posts/blacksmith-infosec/embed,81,Payment Required,0,,17,#11,#86
22-01-2024,Career Recipes by Adaptiv,Personalised career road-map powered by Generative AI,Education,Artificial Intelligence,Career,https://www.producthunt.com/posts/career-recipes-by-adaptiv/embed,80,Free,1,5/5 ?,37,#12,#92
22-01-2024,Personaliz.ai,Boost your outreach response rates with personalized videos,Sales,Marketing,Video,https://www.producthunt.com/posts/personaliz-ai/embed,111,Free Options,2,4.5/5 ?,14,#13,#78
22-01-2024,Free Logo Maker,Create your free logo in minutes,Logo Design,,,https://www.producthunt.com/posts/free-logo-maker-2/embed,69,Free Options,0,,26,#14,#100
22-01-2024,Prompt 3,The best SSH app for iOS and macOS,Software Engineering,Developer Tools,,https://www.producthunt.com/posts/prompt-3-2/embed,82,Payment Required,1,5/5 ?,5,#15,#95
22-01-2024,PitchPal,We find & pitch the best TikTok influencers for your product,Marketing,Social media marketing,,https://www.producthunt.com/posts/pitchpal-3/embed,56,Payment Required,0,,30,#16,#120
22-01-2024,VidtoQuiz,Generate quizzes from videos and export as google form,Education,SaaS,Artificial Intelligence,https://www.producthunt.com/posts/vidtoquiz/embed,29,Free Options,0,,6,#17,#191
23-01-2024,Peerlist 1.0,The professional network for people in tech,Hiring,Social Media,Community,https://www.producthunt.com/posts/peerlist-1-0/embed,0,Free,94,4.8/5 ?,310,#1,#3
23-01-2024,GrowthMentor,Grow your startup faster with 1:1 mentorship,Marketing,Education,Consulting,https://www.producthunt.com/posts/growthmentor/embed,868,Payment Required,12,5/5 ?,224,#2,#6
23-01-2024,Quicklisting,Submit your software startup to 150+ directories in 5 min,SEO,Growth Hacks,Marketing automation,https://www.producthunt.com/posts/quicklisting/embed,609,Payment Required,4,3.8/5 ?,163,#3,#9
23-01-2024,Brainner,Automate resume screening with AI,Hiring,Artificial Intelligence,Human Resources,https://www.producthunt.com/posts/brainner/embed,569,Free Options,3,4.7/5 ?,168,#4,#11
23-01-2024,Stimch,Marketing automation at a fair price,Email Marketing,CRM,Marketing automation,https://www.producthunt.com/posts/stimch/embed,563,Free Options,3,5/5 ?,157,#5,#18
23-01-2024,Recraft Image Model,First AI with high-quality images in user-uploaded style,Design Tools,Artificial Intelligence,Graphic Design,https://www.producthunt.com/posts/recraft-image-model/embed,558,Free,46,4.8/5 ?,154,#6,#19
23-01-2024,TIRA by Formation,Test your coding skills and land a higher paying job,Software Engineering,Developer Tools,Online Learning,https://www.producthunt.com/posts/tira-by-formation/embed,239,Free,1,5/5 ?,72,#7,#42
23-01-2024,ReplyGuy,AI that mentions your product in online convos naturally,Marketing,,,https://www.producthunt.com/posts/replyguy/embed,230,Free,2,5/5 ?,80,#8,#46
23-01-2024,brikly,An agency as a platform to hire engineers,Hiring,Productivity,Software Engineering,https://www.producthunt.com/posts/brikly/embed,149,Free Options,1,5/5 ?,68,#9,#53
23-01-2024,Text Reader AI,Free text-to-speech generator with realistic AI voices,Productivity,Artificial Intelligence,Audio,https://www.producthunt.com/posts/text-reader-ai/embed,149,Free,1,5/5 ?,89,#10,#54
